temp,adc,pwm
25,300,1000
25,300,1000
25,300,1000
25,300,1000
25,300,1000
25,300,1000
25,300,1000
25,300,1000
25,300,1000
25,300,1000
30,360,1200
30,360,1200
30,360,1200
30,360,1200
30,360,1200
30,360,1200
30,360,1200
30,360,1200
30,360,1200
30,360,1200
35,420,1400
35,420,1400
35,420,1400
35,420,1400
35,420,1400
35,420,1400
35,420,1400
35,420,1400
35,420,1400
35,420,1400
40,480,1600
40,480,1600
40,480,1600
40,480,1600
40,480,1600
40,480,1600
40,480,1600
40,480,1600
40,480,1600
40,480,1600
45,540,1800
45,540,1800
45,540,1800
45,540,1800
45,540,1800
45,540,1800
45,540,1800
45,540,1800
45,540,1800
45,540,1800
50,600,2000
50,600,2000
50,600,2000
50,600,2000
50,600,2000
50,600,2000
50,600,2000
50,600,2000
50,600,2000
50,600,2000
55,660,2200
55,660,2200
55,660,2200
55,660,2200
55,660,2200
55,660,2200
55,660,2200
55,660,2200
55,660,2200
55,660,2200
60,720,2400
60,720,2400
60,720,2400
60,720,2400
60,720,2400
60,720,2400
60,720,2400
60,720,2400
60,720,2400
60,720,2400
65,780,2600
65,780,2600
65,780,2600
65,780,2600
65,780,2600
65,780,2600
65,780,2600
65,780,2600
65,780,2600
65,780,2600
70,840,2800
70,840,2800
70,840,2800
70,840,2800
70,840,2800
70,840,2800
70,840,2800
70,840,2800
70,840,2800
70,840,2800
75,900,3000
75,900,3000
75,900,3000
75,900,3000
75,900,3000
75,900,3000
75,900,3000
75,900,3000
75,900,3000
75,900,3000
80,960,3200
80,960,3200
80,960,3200
80,960,3200
80,960,3200
80,960,3200
80,960,3200
80,960,3200
80,960,3200
80,960,3200
85,1020,3400
85,1020,3400
85,1020,3400
85,1020,3400
85,1020,3400
85,1020,3400
85,1020,3400
85,1020,3400
85,1020,3400
85,1020,3400
90,1080,3600
90,1080,3600
90,1080,3600
90,1080,3600
90,1080,3600
90,1080,3600
90,1080,3600
90,1080,3600
90,1080,3600
90,1080,3600
95,1140,3800
95,1140,3800
95,1140,3800
95,1140,3800
95,1140,3800
95,1140,3800
95,1140,3800
95,1140,3800
95,1140,3800
95,1140,3800
100,1200,4000
100,1200,4000
100,1200,4000
100,1200,4000
100,1200,4000
100,1200,4000
100,1200,4000
100,1200,4000
100,1200,4000
100,1200,4000
25,300,1000
25,300,1000
25,300,1000
25,300,1000
25,300,1000
25,300,1000
25,300,1000
25,300,1000
25,300,1000
25,300,1000
30,360,1200
30,360,1200
30,360,1200
30,360,1200
30,360,1200
30,360,1200
30,360,1200
30,360,1200
30,360,1200
30,360,1200
35,420,1400
35,420,1400
35,420,1400
35,420,1400
35,420,1400
35,420,1400
35,420,1400
35,420,1400
35,420,1400
35,420,1400
40,480,1600
40,480,1600
40,480,1600
40,480,1600
40,480,1600
40,480,1600
40,480,1600
40,480,1600
40,480,1600
40,480,1600
45,540,1800
45,540,1800
45,540,1800
45,540,1800
45,540,1800
45,540,1800
45,540,1800
45,540,1800
45,540,1800
45,540,1800
50,600,2000
50,600,2000
50,600,2000
50,600,2000
50,600,2000
50,600,2000
50,600,2000
50,600,2000
50,600,2000
50,600,2000
55,660,2200
55,660,2200
55,660,2200
55,660,2200
55,660,2200
55,660,2200
55,660,2200
55,660,2200
55,660,2200
55,660,2200
60,720,2400
60,720,2400
60,720,2400
60,720,2400
60,720,2400
60,720,2400
60,720,2400
60,720,2400
60,720,2400
60,720,2400
65,780,2600
65,780,2600
65,780,2600
65,780,2600
65,780,2600
65,780,2600
65,780,2600
65,780,2600
65,780,2600
65,780,2600
70,840,2800
70,840,2800
70,840,2800
70,840,2800
70,840,2800
70,840,2800
70,840,2800
70,840,2800
70,840,2800
70,840,2800
75,900,3000
75,900,3000
75,900,3000
75,900,3000
75,900,3000
75,900,3000
75,900,3000
75,900,3000
75,900,3000
75,900,3000
80,960,3200
80,960,3200
80,960,3200
80,960,3200
80,960,3200
80,960,3200
80,960,3200
80,960,3200
80,960,3200
80,960,3200
85,1020,3400
85,1020,3400
85,1020,3400
85,1020,3400
85,1020,3400
85,1020,3400
85,1020,3400
85,1020,3400
85,1020,3400
85,1020,3400
90,1080,3600
90,1080,3600
90,1080,3600
90,1080,3600
90,1080,3600
90,1080,3600
90,1080,3600
90,1080,3600
90,1080,3600
90,1080,3600
95,1140,3800
95,1140,3800
95,1140,3800
95,1140,3800
95,1140,3800
95,1140,3800
95,1140,3800
95,1140,3800
95,1140,3800
95,1140,3800
100,1200,4000
100,1200,4000
100,1200,4000
100,1200,4000
100,1200,4000
100,1200,4000
100,1200,4000
100,1200,4000
100,1200,4000
100,1200,4000
25,300,1000
25,300,1000
25,300,1000
25,300,1000
25,300,1000
25,300,1000
25,300,1000
25,300,1000
25,300,1000
25,300,1000
30,360,1200
30,360,1200
30,360,1200
30,360,1200
30,360,1200
30,360,1200
30,360,1200
30,360,1200
30,360,1200
30,360,1200
35,420,1400
35,420,1400
35,420,1400
35,420,1400
35,420,1400
35,420,1400
35,420,1400
35,420,1400
35,420,1400
35,420,1400
40,480,1600
40,480,1600
40,480,1600
40,480,1600
40,480,1600
40,480,1600
40,480,1600
40,480,1600
40,480,1600
40,480,1600
45,540,1800
45,540,1800
45,540,1800
45,540,1800
45,540,1800
45,540,1800
45,540,1800
45,540,1800
45,540,1800
45,540,1800
50,600,2000
50,600,2000
50,600,2000
50,600,2000
50,600,2000
50,600,2000
50,600,2000
50,600,2000
50,600,2000
50,600,2000
55,660,2200
55,660,2200
55,660,2200
55,660,2200
55,660,2200
55,660,2200
55,660,2200
55,660,2200
55,660,2200
55,660,2200
60,720,2400
60,720,2400
60,720,2400
60,720,2400
60,720,2400
60,720,2400
60,720,2400
60,720,2400
60,720,2400
60,720,2400
65,780,2600
65,780,2600
65,780,2600
65,780,2600
65,780,2600
65,780,2600
65,780,2600
65,780,2600
65,780,2600
65,780,2600
70,840,2800
70,840,2800
70,840,2800
70,840,2800
70,840,2800
70,840,2800
70,840,2800
70,840,2800
70,840,2800
70,840,2800
75,900,3000
75,900,3000
75,900,3000
75,900,3000
75,900,3000
75,900,3000
75,900,3000
75,900,3000
75,900,3000
75,900,3000
80,960,3200
80,960,3200
80,960,3200
80,960,3200
80,960,3200
80,960,3200
80,960,3200
80,960,3200
80,960,3200
80,960,3200
85,1020,3400
85,1020,3400
85,1020,3400
85,1020,3400
85,1020,3400
85,1020,3400
85,1020,3400
85,1020,3400
85,1020,3400
85,1020,3400
90,1080,3600
90,1080,3600
90,1080,3600
90,1080,3600
90,1080,3600
90,1080,3600
90,1080,3600
90,1080,3600
90,1080,3600
90,1080,3600
95,1140,3800
95,1140,3800
95,1140,3800
95,1140,3800
95,1140,3800
95,1140,3800
95,1140,3800
95,1140,3800
95,1140,3800
95,1140,3800
100,1200,4000
100,1200,4000
100,1200,4000
100,1200,4000
100,1200,4000
100,1200,4000
100,1200,4000
100,1200,4000
100,1200,4000
100,1200,4000
25,300,1000
25,300,1000
25,300,1000
