
========================================
STM32 Fan Control Simulation
========================================

Temp: 25 C | ADC: 300 | PWM: 1000 | Fan: 25%
Temp: 25 C | ADC: 300 | PWM: 1000 | Fan: 25%
Temp: 25 C | ADC: 300 | PWM: 1000 | Fan: 25%
Temp: 25 C | ADC: 300 | PWM: 1000 | Fan: 25%
Temp: 25 C | ADC: 300 | PWM: 1000 | Fan: 25%
Temp: 25 C | ADC: 300 | PWM: 1000 | Fan: 25%
Temp: 25 C | ADC: 300 | PWM: 1000 | Fan: 25%
Temp: 25 C | ADC: 300 | PWM: 1000 | Fan: 25%
Temp: 25 C | ADC: 300 | PWM: 1000 | Fan: 25%
Temp: 25 C | ADC: 300 | PWM: 1000 | Fan: 25%
Temp: 30 C | ADC: 360 | PWM: 1200 | Fan: 30%
Temp: 30 C | ADC: 360 | PWM: 1200 | Fan: 30%
Temp: 30 C | ADC: 360 | PWM: 1200 | Fan: 30%
Temp: 30 C | ADC: 360 | PWM: 1200 | Fan: 30%
Temp: 30 C | ADC: 360 | PWM: 1200 | Fan: 30%
Temp: 30 C | ADC: 360 | PWM: 1200 | Fan: 30%
Temp: 30 C | ADC: 360 | PWM: 1200 | Fan: 30%
Temp: 30 C | ADC: 360 | PWM: 1200 | Fan: 30%
Temp: 30 C | ADC: 360 | PWM: 1200 | Fan: 30%
Temp: 30 C | ADC: 360 | PWM: 1200 | Fan: 30%
Temp: 35 C | ADC: 420 | PWM: 1400 | Fan: 35%
Temp: 35 C | ADC: 420 | PWM: 1400 | Fan: 35%
Temp: 35 C | ADC: 420 | PWM: 1400 | Fan: 35%
Temp: 35 C | ADC: 420 | PWM: 1400 | Fan: 35%
Temp: 35 C | ADC: 420 | PWM: 1400 | Fan: 35%
Temp: 35 C | ADC: 420 | PWM: 1400 | Fan: 35%
Temp: 35 C | ADC: 420 | PWM: 1400 | Fan: 35%
Temp: 35 C | ADC: 420 | PWM: 1400 | Fan: 35%
Temp: 35 C | ADC: 420 | PWM: 1400 | Fan: 35%
Temp: 35 C | ADC: 420 | PWM: 1400 | Fan: 35%
